price,area,Loại BĐS:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng tắm:,Số tầng:,Vị trí:,Hướng cửa chính:,Đường/hẻm vào rộng:,Loại đường:,Loại BDS:,Pháp lý:
18 tỷ,120m²,"Nhà riêng, nhà phố",6.5m,20m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
33 tỷ,223m²,"Nhà riêng, nhà phố",10m,23m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
17.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,106m²,"Nhà riêng, nhà phố",4.5m,23m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
21 tỷ,281m²,"Nhà riêng, nhà phố",19m,15m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
16 tỷ,90m²,"Nhà riêng, nhà phố",8m,12m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
17 tỷ,297m²,"Nhà riêng, nhà phố",7.8m,39m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
9 tỷ,117m²,"Nhà riêng, nhà phố",7m,17.5m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,905m²,"Nhà riêng, nhà phố",5m,18.5m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
22 tỷ,132m²,"Nhà riêng, nhà phố",6m,22m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,93m²,"Nhà riêng, nhà phố",4.5m,20.6m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10 tỷ,88m²,"Nhà riêng, nhà phố",4.5m,19.5m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
32 tỷ,110m²,"Nhà riêng, nhà phố",4.9m,24.5m,,,3,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
16.3 tỷ,190m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
20 tỷ,100m²,"Nhà riêng, nhà phố",4.3m,23m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
18 tỷ,79m²,"Nhà riêng, nhà phố",4.9m,16m,,,4,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
11 tỷ,76m²,"Nhà riêng, nhà phố",4.5m,17m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
6.5 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,160m²,"Nhà riêng, nhà phố",10m,16m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
13 tỷ,202m²,"Nhà riêng, nhà phố",6.5m,34m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,145m²,"Nhà riêng, nhà phố",5m,29m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,145m²,"Nhà riêng, nhà phố",5m,29m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
9.2 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
9.2 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
11.7 tỷ,186m²,"Nhà riêng, nhà phố",7.7m,25m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,92m²,"Nhà riêng, nhà phố",5m,19m,,,3,Đường chính,Tây Nam,1m,Đường nhựa,,Có sổ đỏ
7.3 tỷ,72m²,"Nhà riêng, nhà phố",3.5m,21m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
13.2 tỷ,107m²,"Nhà riêng, nhà phố",6.2m,18m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
13.2 tỷ,107m²,"Nhà riêng, nhà phố",6.2m,18m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
12 tỷ,183m²,"Nhà riêng, nhà phố",5m,40m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
6.5 tỷ,86m²,"Nhà riêng, nhà phố",6m,14.5m,,,3,Đường chính,Tây Nam,30m,Đường nhựa,,Có sổ hồng
14.5 tỷ,160m²,"Nhà riêng, nhà phố",10m,16m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,173m²,"Nhà riêng, nhà phố",6m,27m,,,3,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
7 tỷ,150m²,"Nhà riêng, nhà phố",5m,30m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
11 tỷ,120m²,"Nhà riêng, nhà phố",4.5m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
139 tỷ,650m²,"Nhà riêng, nhà phố",24m,27m,,,5,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
18.8 tỷ,318m²,"Nhà riêng, nhà phố",18m,18m,,,3,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
32 tỷ,242m²,"Nhà riêng, nhà phố",13m,20m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
22 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
32 tỷ,240m²,"Nhà riêng, nhà phố",13m,18.5m,,,4,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
14 tỷ,83m²,"Nhà riêng, nhà phố",5m,16.5m,,,7,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
14 tỷ,94m²,"Nhà riêng, nhà phố",5m,18.8m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,48m²,"Nhà riêng, nhà phố",6.2m,8m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
55 tỷ,117m²,"Nhà riêng, nhà phố",11m,11m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
27 tỷ,240m²,"Nhà riêng, nhà phố",12m,20m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,340m²,"Nhà riêng, nhà phố",12m,28m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
14 tỷ,138m²,"Nhà riêng, nhà phố",5m,28m,,,1,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
21 tỷ,80m²,"Nhà riêng, nhà phố",8m,10m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
3.5 tỷ,70m²,"Nhà riêng, nhà phố",5m,14m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
16 tỷ,144m²,"Nhà riêng, nhà phố",9m,15m,4,3,2,Đường chính,Đông,10m,Đường nhựa,,
14.5 tỷ,180m²,"Nhà riêng, nhà phố",6.7m,28m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
4.3 tỷ,97m²,"Nhà riêng, nhà phố",5m,19m,,,3,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
39.5 tỷ,730m²,"Nhà riêng, nhà phố",20m,36m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
12 tỷ,183m²,"Nhà riêng, nhà phố",5m,40m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
19.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
9.3 tỷ,156m²,"Nhà riêng, nhà phố",5.4m,28m,,,1,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
21 tỷ,80m²,"Nhà riêng, nhà phố",8m,10m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
10 tỷ,114m²,"Nhà riêng, nhà phố",6m,18m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
13.5 tỷ,87m²,"Nhà riêng, nhà phố",4.1m,21m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
13 tỷ,270m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ hồng
5.8 tỷ,80m²,"Nhà riêng, nhà phố",5m,16m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
12.9 tỷ,87m²,"Nhà riêng, nhà phố",8.1m,11.2m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
4.3 tỷ,82m²,"Nhà riêng, nhà phố",4.5m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
14.15 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
4.2 tỷ,82m²,"Nhà riêng, nhà phố",5m,16m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
5.7 tỷ,72m²,"Nhà riêng, nhà phố",5m,14.5m,3,4,3,Đường chính,Đông Bắc,10m,Đường nhựa,,
11 tỷ,76m²,"Nhà riêng, nhà phố",4.5m,17m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
14.15 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
24.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
14 tỷ,140m²,"Nhà riêng, nhà phố",5m,28m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,7,Đường chính,Tây,8m,Đường nhựa,,Có sổ hồng
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
36 tỷ,233m²,"Nhà riêng, nhà phố",13m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
25 tỷ,164m²,"Nhà riêng, nhà phố",8m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,135m²,"Nhà riêng, nhà phố",5m,27m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,112m²,"Nhà riêng, nhà phố",8m,14m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
62 tỷ,162m²,"Nhà riêng, nhà phố",9m,18m,,,10,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
24.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
27.5 tỷ,212m²,"Nhà riêng, nhà phố",10.2m,21m,,,5,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
25 tỷ,164m²,"Nhà riêng, nhà phố",8m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
36 tỷ,233m²,"Nhà riêng, nhà phố",13m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
14 tỷ,140m²,"Nhà riêng, nhà phố",5m,28m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,135m²,"Nhà riêng, nhà phố",5m,27m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
33 tỷ,126m²,"Nhà riêng, nhà phố",7m,18m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
62 tỷ,162m²,"Nhà riêng, nhà phố",9m,18m,,,10,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
19 tỷ,112m²,"Nhà riêng, nhà phố",8m,14m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
6.5 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,3,3,3,Đường chính,Đông Bắc,10m,Đường nhựa,,
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
6.5 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
6.5 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
9.99 tỷ,72m²,"Nhà riêng, nhà phố",8.5m,8.4m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
9.99 tỷ,72m²,"Nhà riêng, nhà phố",8.5m,8.4m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
5.5 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,4,,3,Đường chính,Đông,5.5m,Đường nhựa,,
4.2 tỷ,82m²,"Nhà riêng, nhà phố",5m,16m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
3.55 tỷ,83m²,"Nhà riêng, nhà phố",5m,16.5m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
5.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,1,,1,Đường chính,Đông Nam,5.5m,Đường nhựa,,
5.45 tỷ,87m²,"Nhà riêng, nhà phố",4.5m,19.3m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
3.8 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
10.5 tỷ,80m²,"Nhà riêng, nhà phố",4.5m,17m,,,3,Đường chính,Nam,35m,Đường nhựa,,Có sổ hồng
10.5 tỷ,80m²,"Nhà riêng, nhà phố",4.5m,17m,,,3,Đường chính,Nam,35m,Đường nhựa,,Có sổ hồng
4 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
6.3 tỷ,88m²,"Nhà riêng, nhà phố",6m,15m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
5.5 tỷ,54m²,"Nhà riêng, nhà phố",5m,11m,,,5,Đường chính,Nam,4m,Đường nhựa,,Có sổ hồng
5.5 tỷ,60m²,"Nhà riêng, nhà phố",5m,12m,5,,5,Đường chính,Đông Nam,5.5m,Đường nhựa,,
5.8 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,3,,2,Đường chính,Đông,5.5m,Đường nhựa,,
5.5 tỷ,53m²,"Nhà riêng, nhà phố",5m,11m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
5.5 tỷ,53m²,"Nhà riêng, nhà phố",5m,11m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
14.2 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
6.3 tỷ,88m²,"Nhà riêng, nhà phố",6m,15m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
2.75 tỷ,45m²,"Nhà riêng, nhà phố",4m,13m,,,2,Đường chính,Nam,3m,Đường nhựa,,Có sổ hồng
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
11 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,3,,2,Đường chính,Nam,10.5m,Đường nhựa,,
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
36 tỷ,233m²,"Nhà riêng, nhà phố",13m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10 tỷ,191m²,"Nhà riêng, nhà phố",5m,38m,4,,1,Đường chính,Đông,10.5m,Đường nhựa,,
19 tỷ,112m²,"Nhà riêng, nhà phố",8m,14m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
62 tỷ,162m²,"Nhà riêng, nhà phố",9m,18m,,,10,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
27.5 tỷ,212m²,"Nhà riêng, nhà phố",10.2m,21m,,,5,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
33 tỷ,126m²,"Nhà riêng, nhà phố",7m,18m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
24.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,Nam,,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25 tỷ,164m²,"Nhà riêng, nhà phố",8m,18m,,,6,Đường chính,Nam,,Đường nhựa,,Có sổ đỏ
14 tỷ,140m²,"Nhà riêng, nhà phố",5m,28m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,135m²,"Nhà riêng, nhà phố",5m,27m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
11 tỷ,76m²,"Nhà riêng, nhà phố",4.5m,17m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,160m²,"Nhà riêng, nhà phố",8m,20m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
3.8 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
9.99 tỷ,120m²,"Nhà riêng, nhà phố",6.2m,19m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
5.6 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,3,,2,Đường chính,Đông Nam,5.5m,Đường nhựa,,
6 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,2,,1,Đường chính,Đông Nam,5.5m,Đường nhựa,,
9.2 tỷ,98m²,"Nhà riêng, nhà phố",5m,19.5m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
19 tỷ,112m²,"Nhà riêng, nhà phố",8m,14m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
9.2 tỷ,98m²,"Nhà riêng, nhà phố",5m,19.5m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
19 tỷ,112m²,"Nhà riêng, nhà phố",8m,14m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
9.2 tỷ,98m²,"Nhà riêng, nhà phố",5m,19.5m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
2.92 tỷ,54m²,"Nhà riêng, nhà phố",3.7m,9.2m,,,2,Đường chính,Nam,4.5m,Đường nhựa,,Có sổ hồng
3.85 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
6.2 tỷ,100m²,"Nhà riêng, nhà phố",4.2m,23m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
4.95 tỷ,96m²,"Nhà riêng, nhà phố",4.3m,22m,2,1,1,Đường chính,Tây Nam,7.5m,Đường nhựa,,
3.85 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
5.95 tỷ,68m²,"Nhà riêng, nhà phố",4.5m,15m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
9.5 tỷ,98m²,"Nhà riêng, nhà phố",5m,19.8m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
24.5 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
8.7 tỷ,115m²,"Nhà riêng, nhà phố",5m,23m,,,2,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
12.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
16.5 tỷ,67m²,"Nhà riêng, nhà phố",4.5m,15m,,,4,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
9.9 tỷ,148m²,"Nhà riêng, nhà phố",8.7m,17m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
11 tỷ,53m²,"Nhà riêng, nhà phố",5.3m,11m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
8.5 tỷ,101m²,"Nhà riêng, nhà phố",5.2m,20m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,164m²,"Nhà riêng, nhà phố",9m,18.2m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,106m²,"Nhà riêng, nhà phố",4.5m,23m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
21 tỷ,281m²,"Nhà riêng, nhà phố",19m,15m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
13.8 tỷ,138m²,"Nhà riêng, nhà phố",6m,18m,,,2,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
